track_name,course_name,course_desc,course_author,course_duration,course_price,course_original_price,course_img
AI,AIFundamentals,AIFundamentals (CloudHub),CloudHub,2h,499,999,AIFundamentals.png
AWS Cloud,Amazon EC2 Deep Dive & Compute Architecture,Amazon EC2 Deep Dive & Compute Architecture (CloudHub),CloudHub,2h,499,999,Amazon EC2 Deep Dive & Compute Architecture.png
AWS Cloud,AWS Cloud Fundamentals & Core Services,AWS Cloud Fundamentals & Core Services (CloudHub),CloudHub,2h,499,999,AWS Cloud Fundamentals & Core Services.jpg
AWS Cloud,"AWS Databases: RDS, DynamoDB & Aurora","AWS Databases: RDS, DynamoDB & Aurora (CloudHub)",CloudHub,2h,499,999,"AWS Databases: RDS, DynamoDB & Aurora.webp"
AWS Cloud,"AWS Networking: VPC, Subnets & Security Groups","AWS Networking: VPC, Subnets & Security Groups (CloudHub)",CloudHub,2h,499,999,"AWS Networking: VPC, Subnets & Security Groups.png"
AWS Cloud,"AWS Storage Solutions: S3, EBS & Glacier","AWS Storage Solutions: S3, EBS & Glacier (CloudHub)",CloudHub,2h,499,999,"AWS Storage Solutions: S3, EBS & Glacier.png"
Programming,Build a Full Stack Mini Project,Build a Full Stack Mini Project (CloudHub),CloudHub,2h,499,999,Build a Full-Stack Mini Project.jpeg
Programming,C# and .NET Basics,C# and .NET Basics (CloudHub),CloudHub,2h,499,999,C# and .NET Basics.jpeg
DevOps,CD Foundations,CD Foundations (CloudHub),CloudHub,2h,499,999,CD Foundations.avif
DevOps,CD Foundations,CD Foundations (CloudHub),CloudHub,2h,499,999,CD Foundations.avif
DevOps,GitHub Actions,GitHub Actions (CloudHub),CloudHub,2h,499,999,GitHub Actions.png
DevOps,Cisco CCNA Foundations,Cisco CCNA Foundations (CloudHub),CloudHub,2h,499,999,Cisco CCNA Foundations.webp
Programming,Command Line Mastery,Command Line Mastery (CloudHub),CloudHub,2h,499,999,Command Line Mastery.png
AI,Computer Vision Basics,Computer Vision Basics (CloudHub),CloudHub,2h,499,999,Computer Vision Basics.jpeg
Data Science,Data Cleaning and Wrangling,Data Cleaning and Wrangling (CloudHub),CloudHub,2h,499,999,Data Cleaning and Wrangling.webp
DevOps,Data Science Capstone Project,Data Science Capstone Project (CloudHub),CloudHub,2h,499,999,Data Science Capstone Project.jpeg
DevOps,Data Science Fundamentals,Data Science Fundamentals (CloudHub),CloudHub,2h,499,999,Data Science Fundamentals.webp
Data Science,Data Structures and Algorithms,Data Structures and Algorithms (CloudHub),CloudHub,2h,499,999,Data Structures and Algorithms.png
Data Science,Data Visualization Basics,Data Visualization Basics (CloudHub),CloudHub,2h,499,999,Data Visualization Basics.png
Data Science,Database Fundamentals (SQL),Database Fundamentals (SQL) (CloudHub),CloudHub,2h,499,999,Database Fundamentals (SQL).png
AI,Deep Learning Foundations,Deep Learning Foundations (CloudHub),CloudHub,2h,499,999,Deep Learning Foundations.jpeg
DevOps,DevOps Fundamentals,DevOps Fundamentals (CloudHub),CloudHub,2h,499,999,DevOps Fundamentals.jpeg
Cyber Security,Digital Forensics Basics,Digital Forensics Basics (CloudHub),CloudHub,2h,499,999,Digital Forensics Basics.jpeg
DevOps,DockerCompose,DockerCompose (CloudHub),CloudHub,2h,499,999,DockerCompose.webp
DevOps,DockerEssentials,DockerEssentials (CloudHub),CloudHub,2h,499,999,DockerEssentials.webp
Data Science,Exploratory Data Analysis,Exploratory Data Analysis (CloudHub),CloudHub,2h,499,999,Exploratory Data Analysis.webp
Data Science,Feature Engineering Basics,Feature Engineering Basics (CloudHub),CloudHub,2h,499,999,Feature Engineering Basics.png
Programming,File system workflow,File system workflow (CloudHub),CloudHub,2h,499,999,File-system-workflow.png
Programming,Git and GitHub Workflow,Git and GitHub Workflow (CloudHub),CloudHub,2h,499,999,Git and GitHub Workflow.png
DevOps,GitforDevOps,GitforDevOps (CloudHub),CloudHub,2h,499,999,GitforDevOps.png
DevOps,GitHub Actions,GitHub Actions (CloudHub),CloudHub,2h,499,999,GitHub Actions.png
DevOps,Grafana),Grafana) (CloudHub),CloudHub,2h,499,999,Grafana).png
AI,High Availability & Auto Scaling Architectures,High Availability & Auto Scaling Architectures (CloudHub),CloudHub,2h,499,999,High Availability & Auto Scaling Architectures.png
Programming,Identity & Access Management (IAM) Mastery,Identity & Access Management (IAM) Mastery (CloudHub),CloudHub,2h,499,999,Identity & Access Management (IAM) Mastery.png
Programming,Infrastructure as Code Basics,Infrastructure as Code Basics (CloudHub),CloudHub,2h,499,999,Infrastructure as Code Basics.webp
DevOps,Infrastructure as Code with CloudFormation & Terraform,Infrastructure as Code with CloudFormation & Terraform (CloudHub),CloudHub,2h,499,999,Infrastructure as Code with CloudFormation & Terraform.png
Programming,IP Deep Dive,IP Deep Dive (CloudHub),CloudHub,2h,499,999,IP Deep Dive.jpeg
Programming,Java Fundamentals,Java Fundamentals (CloudHub),CloudHub,2h,499,999,Java Fundamentals.jpeg
Programming,JavaScript Essentials,JavaScript Essentials (CloudHub),CloudHub,2h,499,999,JavaScript Essentials.jpeg
DevOps,Kubernetes Foundations,Kubernetes Foundations (CloudHub),CloudHub,2h,499,999,Kubernetes Foundations.jpeg
DevOps,Linux for DevOps,Linux for DevOps (CloudHub),CloudHub,2h,499,999,Linux for DevOps.avif
Cyber Security,Linux for Security,Linux for Security (CloudHub),CloudHub,2h,499,999,Linux for Security.jpeg
Operating Systems,Linux OS Essentials,Linux OS Essentials (CloudHub),CloudHub,2h,499,999,Linux OS Essentials.png
